Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F246M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AMARELO MAXFIO 450/750V NBR247 50M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F246M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AMARELO MAXFIO 450/750V NBR247 50M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F246M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AMARELO MAXFIO 450/750V NBR247 50M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F247M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AZUL MAXFIO 450/750V NBR247 50M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F247M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AZUL MAXFIO 450/750V NBR247 50M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F247M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AZUL MAXFIO 450/750V NBR247 50M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F248M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM PRETO MAXFIO 450/750V NBR247 50M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F248M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM PRETO MAXFIO 450/750V NBR247 50M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F248M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM PRETO MAXFIO 450/750V NBR247 50M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F249M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM VERMELHO MAXFIO 450/750V NBR247 50M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F249M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM VERMELHO MAXFIO 450/750V NBR247 50M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F249M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM VERMELHO MAXFIO 450/750V NBR247 50M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F250M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM VERDE MAXFIO 450/750V NBR247 50M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F250M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM VERDE MAXFIO 450/750V NBR247 50M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F250M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM VERDE MAXFIO 450/750V NBR247 50M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F247B;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AZUL MAXFIO 450/750V NBR247 (BOBINA);M;0.0;3.126;1.709;0.0;0.0133;4.8483
F247B;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AZUL MAXFIO 450/750V NBR247 (BOBINA);M;0.0;1.76;1.9;0.0;0.018;3.678
F247B;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM AZUL MAXFIO 450/750V NBR247 (BOBINA);M;0.0;1.98;1.8;0.0;0.018;3.798
F272B;CEL-FLEX 4,0MM;CABO ELETRICO FLEX ATOX 4,0MM AZUL 450/750V MAXFIO METRO (BOBINA);M;2.197;3.126;1.709;0.0;0.0133;4.8483
F272B;CEL-FLEX 4,0MM;CABO ELETRICO FLEX ATOX 4,0MM AZUL 450/750V MAXFIO METRO (BOBINA);M;2.197;1.76;1.9;0.0;0.018;3.678
F272B;CEL-FLEX 4,0MM;CABO ELETRICO FLEX ATOX 4,0MM AZUL 450/750V MAXFIO METRO (BOBINA);M;2.197;1.98;1.8;0.0;0.018;3.798
F251M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM BRANCO MAXFIO 450/750V NBR247 50M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F251M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM BRANCO MAXFIO 450/750V NBR247 50M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F251M;CEL-FLEX 4,0MM;CABO ELETRICO FLEX 4,00MM BRANCO MAXFIO 450/750V NBR247 50M;RL;0.0;1.98;1.8;0.0;0.018;3.798
