Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
V658;CABO DE CONTROLE PP;CABO DE CONTROLE PP 3X16,0MM ROLO 100M;RL;3251.4099999999994;35.8;0.0;23.0;0.0;0.0;58.8
V659;CABO DE CONTROLE PP;CABO DE CONTROLE PP 3X16,0MM METRO;M;32.51409999999999;0.358;0.0;0.23;0.0;0.0;0.588
V660;CABO DE CONTROLE PP;CABO DE CONTROLE PP 3X25,0MM ROLO 100M;RL;4880.475;53.1;0.0;37.5;0.0;1.0;91.6
V661;CABO DE CONTROLE PP;CABO DE CONTROLE PP 3X25,0MM METRO;M;48.804750000000006;0.531;0.0;0.375;0.0;0.01;0.9159999999999999
V662;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X1,0MM ROLO 100M;RL;263.5576;2.4;0.0;5.28;0.0;0.0;7.68
V663;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X1,0MM METRO;M;2.635576;0.024;0.0;0.0528;0.0;0.0;0.0768
V664;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X1,5MM ROLO 100M;RL;473.7266666666667;4.533333333333333;0.0;8.0;0.0;0.0;12.533333333333333
V665;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X1,5MM METRO;M;4.737266666666667;0.04533333333333333;0.0;0.08;0.0;0.0;0.12533333333333332
V666;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X2,5MM ROLO 100M;RL;713.315;7.2;0.0;9.5;0.0;0.0;16.7
V667;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X2,5MM METRO;M;7.1331500000000005;0.07200000000000001;0.0;0.095;0.0;0.0;0.16699999999999998
V668;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X4,0MM ROLO 100M;RL;1171.4699999999998;12.5;0.0;11.0;0.0;0.0;23.5
V669;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X4,0MM METRO;M;11.714699999999999;0.125;0.0;0.11;0.0;0.0;0.235
V670;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X6,0MM ROLO 100M;RL;1771.82;19.0;0.0;16.0;0.0;0.0;35.0
V671;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X6,0MM METRO;M;17.7182;0.19;0.0;0.16;0.0;0.0;0.35
V672;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X10,0MM ROLO 100M;RL;2887.33;32.0;0.0;19.0;0.0;0.0;51.0
V673;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X10,0MM METRO;M;28.8733;0.32;0.0;0.19;0.0;0.0;0.51
V674;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X16,0MM ROLO 100M;RL;4349.200000000001;48.0;0.0;30.0;0.0;0.0;78.0
V675;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X16,0MM METRO;M;43.492000000000004;0.48;0.0;0.3;0.0;0.0;0.78
V676;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X25,0MM ROLO 100M;RL;0.1;0.0;0.0;0.0;0.0;0.0;0.0
V677;CABO DE CONTROLE PP;CABO DE CONTROLE PP 4X25,0MM METRO;M;0.001;0.0;0.0;0.0;0.0;0.0;0.0
V678;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X1,0MM ROLO 100M;RL;329.422;3.0;0.0;6.6000000000000005;0.0;0.0;9.600000000000001
V679;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X1,0MM METRO;M;3.29422;0.03;0.0;0.066;0.0;0.0;0.09600000000000002
V680;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X1,5MM ROLO 100M;RL;585.3829999999999;5.6;0.0;9.9;0.0;0.0;15.5
V681;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X1,5MM METRO;M;5.853829999999999;0.055999999999999994;0.0;0.099;0.0;0.0;0.155
V682;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X2,5MM ROLO 100M;RL;911.3950000000001;9.0;0.0;13.5;0.0;0.0;22.5
V683;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X2,5MM METRO;M;9.11395;0.09;0.0;0.135;0.0;0.0;0.225
V684;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X25,0MM ROLO 100M;RL;0.1;0.0;0.0;0.0;0.0;0.0;0.0
V685;CABO DE CONTROLE PP;CABO DE CONTROLE PP 5X25,0MM METRO;M;0.001;0.0;0.0;0.0;0.0;0.0;0.0
V686;CABO DE CONTROLE PP;CABO DE CONTROLE PP 6X1,0MM ROLO 100M;RL;412.081;3.5999999999999996;0.0;9.3;0.0;0.0;12.9
V687;CABO DE CONTROLE PP;CABO DE CONTROLE PP 6X1,0MM METRO;M;4.1208100000000005;0.036;0.0;0.09300000000000001;0.0;0.0;0.129
V688;CABO DE CONTROLE PP;CABO DE CONTROLE PP 6X1,5MM ROLO 100M;RL;691.7299999999999;6.719999999999999;0.0;11.0;0.0;0.0;17.72
V689;CABO DE CONTROLE PP;CABO DE CONTROLE PP 6X1,5MM METRO;M;6.917299999999999;0.06719999999999998;0.0;0.11;0.0;0.0;0.1772
V690;CABO DE CONTROLE PP;CABO DE CONTROLE PP 6X2,5MM ROLO 100M;RL;1127.73;10.8;0.0;19.0;0.0;0.0;29.8
V691;CABO DE CONTROLE PP;CABO DE CONTROLE PP 6X2,5MM METRO;M;11.2773;0.10800000000000001;0.0;0.19;0.0;0.0;0.298
V692;CABO DE CONTROLE PP;CABO DE CONTROLE PP 7X1,0MM ROLO 100M;RL;446.06000000000006;4.2;0.0;8.0;0.0;0.0;12.2
V693;CABO DE CONTROLE PP;CABO DE CONTROLE PP 7X1,0MM METRO;M;4.4606;0.042;0.0;0.08;0.0;0.0;0.122
V694;CABO DE CONTROLE PP;CABO DE CONTROLE PP 7X1,5MM ROLO 100M;RL;809.03;7.839999999999999;0.0;13.0;0.0;0.0;20.84
V695;CABO DE CONTROLE PP;CABO DE CONTROLE PP 7X1,5MM METRO;M;8.0903;0.07839999999999998;0.0;0.13;0.0;0.0;0.2084
V696;CABO DE CONTROLE PP;CABO DE CONTROLE PP 7X2,5MM ROLO 100M;RL;1313.6399999999999;12.6;0.0;22.0;0.0;0.0;34.6
